ID	Replicate	SampleType	FiltrationBeforeExtraction	SamplingTime	SeawaterTreatment	TreatmentDuration.Type	TiO2EffetOnOyster	Mortality72h	Mortality4days	Mortality72h.EM-EMC	Mortality4days.EM-EMC	TreatmentTime	VirusDetectedByQPCR	OysterFamily	ExperimentationDate	TypeOfTreatment
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
HV-PL-2-2-3	Oyster-2h_UV	Oyster	NA	24h	UV	2h_UV	NA	18	32	18	32	2h	Presence	F14V	JUN2022	ASV
HV-PL-2-3-1	Oyster-2h_UV	Oyster	NA	24h	UV	2h_UV	NA	18	32	18	32	2h	Absence	F14V	JUN2022	ASV
HV-PL-2-3-2	Oyster-2h_UV	Oyster	NA	24h	UV	2h_UV	NA	18	32	18	32	2h	Absence	F14V	JUN2022	ASV
HV-PL-2-3-3	Oyster-2h_UV	Oyster	NA	24h	UV	2h_UV	NA	18	32	18	32	2h	Absence	F14V	JUN2022	ASV
HV-PL-30-1-1	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Absence	F14V	JUN2022	ASV
HV-PL-30-1-2	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Presence	F14V	JUN2022	ASV
HV-PL-30-1-3	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Presence	F14V	JUN2022	ASV
HV-PL-30-2-1	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Absence	F14V	JUN2022	ASV
HV-PL-30-2-2	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Presence	F14V	JUN2022	ASV
HV-PL-30-2-3	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Absence	F14V	JUN2022	ASV
HV-PL-30-3-1	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Presence	F14V	JUN2022	ASV
HV-PL-30-3-2	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Presence	F14V	JUN2022	ASV
HV-PL-30-3-3	Oyster-0.5h_UV	Oyster	NA	24h	UV	0.5h_UV	NA	39	82	39	82	0.5h	Absence	F14V	JUN2022	ASV
